BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
23;1107;Quema reiteradamente el BUT11APX (horizontal);se midio +b y estaba en exceso, se recambio los filtros de fuetne y se bajo la tension con el preset de ajuste de tension de fuente.;quema el horizontal, se le puso como reempalzo BU2508DX, (lleva dioso dumper, pero reitera la falla.;0
24;1134;enciende normal,cada tanto plegado horizontal;el transistor de salida horizontal (BU1508DX)estaba defectuoso;el televisor enciende normal y cada tanto o al cambiar canal se pliega el horizontal intermitente;0
25;1138;No arranca;cambio de horizontal BUL312FP;no arranca, se midio en transistor horizontal encontrandose en corto;0
26;1142;Tironeos en la imagen;En este caso nos encontramos con el filtro en C2409 fuera de su valor, cabe aclarar que con el capachec marcaba su esr normal pero solo pudimos constatar que este capacitor era el que efectuaba la falla midiendo su capacidad en faradios, los cuales nos da;El tv ingresa con tironeos en la imagen luego de unos minutos del encendido en lapsos de varios minutos funcionando bien;0
27;1147;parte superior con lineas de retraso;se remplasaron todos los filtros y condensadores y se soluciono el problema;en la pantalla parte superior tiene lineas de retraso y se revisaron los filtros y condemsadores de la parte de la seccion vertical;0
28;1152;salida horizontal daÃ±ada;cuando no se tiene el original que es el bu1508dx, se puede utilizar el d2499.;el transistor de salida horizontal esta en corto.;0
29;1152;se oye pero no se ve;Para evitar que se proteja, desconectar el zÃ³calo del trc y medir que pin6 del ic7330= tda6107q tenga 200volts. Yo no tenia ese voltaje porque resistencia r3340 de 10 ohms estaba abierta. Se reemplazÃ³ y ya tuve imagen.Nota:- Si tuvieras daÃ±ado el tda61;La pantalla brilla demasiado y el tv se protege. audio muy bien.;0
30;1163;"EW  Parabolas Laterales sin control Falta TensiÃ³n de gatillo Fet..
";"Agregar Resistencia de 4,7 K. Alimentacion de 8V. A la Pin 45 de TDA 8375, Controlar componentes Perifericos al Circuito..
";;0
31;1217;Se apaga;Se reemplazan transistores T7461(C33725) y T7460(C32725);El TV enciende y luego de unos segundos se apaga, despues de intentar varias veces queda encendido;0
32;21;se bino una descarga electrica y no enciende;"no lo se
";no enciende;0
33;23;el tlevisor  entra en proteccion;se cambio la proteccion ocp que consta de R-575  c571  q571 el filtro esta seco y las resistencias estan desvaloradas falla resuelta;"esta tv al momento de encenderla entra en proteccion ocp parpadea 2 veces el led indicador
no dando tiempo de revisar la falla se desactiva la proteccion y la imagen aparece con una distorcion dejando una sombra del lado izquierdo y sale de frecuencia";0
34;24;No enciende;  Reemplazar el ic y condensadores electroliticos de su entorno;  se calienta el ic de la fuente, es porque el ic esta malo.;0
35;147;no enciende;se encontro daÃ±ado reelevador de de alimentacion;se conecta y solamente hace un click;0
36;148;No enciende;Diodo zener 150 volts en corto y no me daban los 135 volts.;Trata de encender pero entra en protecciÃ³n.;0
37;189;No prende, solo emite un sonido;"En vista de que Q603 y 602 estaban en buenas condiciones; ademÃ¡s de los respectivos diodos que estÃ¡n alrededor de los transistores se reeplazÃ³ mPC1093 con uno TL431C.";Cuando se pulsa el botÃ³n de encendido, el micro del tv da la orden, pero sÃ³lo se pega el relÃ© mÃ¡s no se enciende el tv. A veces se encedndÃ­a pero no pasaba un minuto y se volvÃ­a a apagar.;0
38;292;no encendia;revise la fuente y cambie un condensador(filtro) de 350 V 10 micros,y listo despues de eso prendio,y el flayback le puse un aislante(donde un experto) y listo,todo bien;"no encendia el televisor de \""la noche a la maÃ±ana\"" y el flayback tenia fuga por el cable y hacia ruido";0
39;339;La fuente no regula;Q611 2SC3311A en corto de base a emisor;varia el tamaÃ±o de la pantalla ya que la fuente no regula el voltaje varia;0
40;394;no enciende;"Aunque transistor Q605=D774 checaba bien lo reemplacÃ© y encendiÃ³ el tv, dando los voltajes que vienen en el diagrama.
";no enciende ni con control remoto ni con tecla power, se detectÃ³ Q691=A933AS en corto. Se reemplazÃ³ y no hubo respuesta por lo que se checÃ³ todas las resistencias y diodos de la fuente de stand by ya que no daba los voltajes que vienen en el diagrama.;0
41;401;enciende a las cansadas y se apaga;"prende el led st bay parpadea 4 veces y enciende alas cansadas.

cambiar ic mcz3001db este integrado va en la fuente de alimentacion y hace de switch regulador y en la mayoria de las veces se quema es un integrado de 18 pines";enciende pero al rato y se apaga el tv porque se eata protegiendo;0
42;404;enciende aveses;"SOLUCIÃ“N: se cambio el circuito MCZ3001D y la tv encendiÃ³ a la primera.

NOTA: es un fallo muy comÃºn de este integrado, cuando el cliente comente que aveses trabaja y trae en la fuente el MCZ no duden en cambiarlo";"le das power y se escucha el relay que se activa y el foco empieza a titilar, despuÃ©s de un rato el relay se desactiva.

el cliente comenta que aveses enciende, pero que tiene que estar prendiendo y apagando asta que en una de esas enciende.

se";0
43;404;Se apaga;en este caso encontre la resistencia R595 abierta(470k);saludos despues de un tiempo de estar prendido se apaga solo (anormal);0
44;411;al encenderlo solo se escucha el relay;"DespuÃ©s de buscar en yoreparo.com soluciones a fallas similares encontrÃ© y aplique esta y el problema se resolviÃ³ al 100%

amigos colegas espero esto les sirva con respecto a este fallo como comente se le encontrÃ³ los dos transitotes de la fuente";DespuÃ©s de encenderlo se escucha el relay me espero unos minutos pulso power y enciende cadÃ¡ver tarda mas en encender el Led en stan Bay parpadea 4 veces;0
45;420;no enciende;encontrando que el tran. hor. entre base y emisor tenia la lectura de la resistencia interna 45ohms siendo que conectado a la placa debe de darnos la lectura del transf. asi que resolde esa parte y el tv trabajo normalmente y ya no se protegia;al revisar nos percatamos de que los transistores de la fuente estaban en corto, la resistencia fisible de .47 ohms abierta, y el transistor de salida hor. en corto, pero al cambiar totos estos componentes notamos que se calentaba demasiado el transist. h;0
46;425;Sin sonido;"se corrige haciendo reset ala memoria y esto es suficiente para que funcione.
primero presione en el control remoto con el tv apagado display,#5,volumen+,power,luego #8, y enter.";SALUDOS,en este modelo es comun que no haya sonido.;0
47;456;no enciende;cambio del flayback.;al presionar power se  escucha el relevador y luego se desactiva quedando el led indicador prendiendo y apagando repetidamente.;0
48;456;No enciende;Se cambiÃ³ el C.I. MCZ3001D. trabajando el tv al instante;Antes de apagarse completamente, el cliente reporta que luego de trabajar un rato ya no encendia nuevamente. No hay voltajes en el secundario del Tranformador de la fuente como los 135V. Salida Horizontal, sin corto. al encender el Tv no aparece B+ ni por;0
49;585;enciende y enseguida se apaga;la resistencia R595 de 330kohms estaba abierta;el aparato enciende con buena imagen y enseguida se apaga,en el autodiagnostico del aparato marca la falla de Bmas ocp.;0
50;619;problema de amplificacion vertical;para que abriera la pantalla se cambio el tda8172 que es el amplificador vertical,abrio toda la pantalla con brillo pero la imagan solo se veia como 10cm en la parte superior de la pantalla,esto lo provoco la resistencia que sale del flay que es de 0.47 o;en un principio,el vertical estaba cerrado,despues abria todo pero con imagen de aprox.,15cm;0
51;620;fuera de sincronia vertical y horizontal;Esto lo provoco el CI jungla el CXA2133AS;el aparato encendia con problemas de sincronia tanto vertical como horizontal y como a los 27 minutos despues de encendida salia un leyenda en ingles que decia que el aparato proximamene se apagaria y se apagaba;0
52;1272;no enciende;despues de cambiar el hor,bu4508dx revisamos los 33v en tuner no estaban ni los 12v el problema lo ocasionaba un Q impreso ubicado en 6467 cuyo numero es BAV7O=nte 595 y el tv encendio;se reviso el hor.bu4508dx estaba en corto se cambio pero aun asi el tv no arran ca encedia led en rojo pero no hay hv ni audio;0
53;1286;Tambor trabado;Solicito ayuda para llegar a los rodamientos y reemplazarlos ya que no he podido ubicar la solucion en la pÃ¡gina;En una parte del ciclo de giro el tambor se traba. Inspeccionado se observa movimiento pivotante vertical, que podria indicar rotura de rodamientos;0
54;1347;No enciende;tenia en corto el C508;En la linea de 115 volt, solo tiene 12 v;0
55;1376;se apaga solo;reemplazar por bd136 bd 137;mal transistores etapa horizontal;0
56;1427;alcanzado por rayo;Cambiar los 4 diodos de la fuente primaria,el opto y el microjungla NTDA9370-321 y su memoria;no enciende;0
57;1455;Lineas Horizontales;"CAMBIE R810 DE 820 ohms Y R811 DE 680ohms
RETOCAR SOLDADURAS DE PLACA AL LADO DEL SINTO 
";"LINEAS HORIZONTALES DE VERTICAL

";0
58;1481;Perdida de Color Intermitente o Total; El circuito de croma de este televisor viene incorporado en un modulo extraible,cuando tengamos el problema anteriormente citado,perdida de color,lo aconsejable antes de sustituir algun semiconductor,es cambiar el o los cristal de cuarzo de de dicho modu;Los colores se presentan en forma intermitente hasta que ya no lo hacen quedando presentes solo el blanco y negro.;0
59;1562;Intenta arrancar pero nÃ³ consigue.El led parpadea en el intento de arrancar.PasÃ³ despuÃ©s de una tormenta. (muy rara,pero puede pasar);Resistencia de 5w de 2.2Ohms en la fuente que cambiÃ³ su valor para poco mÃ¡s.Como las tensiones estan bien en st-by,fuÃ© dificil sospechar de esta resistencia.Esta averia solo me pasÃ³ una vez,y tardÃ³ en descubrir el problema,pero puede pasar.;;0
60;1614;Quema tr salida horizontal;c 810;"Chirrido como fuera de frecuencia vivoreo horizontal
y quema el bu 508d";0
61;2215;No enciende, fusible quemado;"cortocircuito en pistas alrededor de puente de diodo, se puentearon pistas quemadas y ok
";;0
62;2217;No enciende;"cambiar electrolÃ­tico c809 de 100mf x 400v
c555 de 3,3 x 250v - c414 de 4,7 x 160 v y  r802 de 470k y cambiar el touch de power,
encendiÃ³ el led, pero se protege 
cambiar  STR50103 y LA7837 que estaban con fugas. 
";;0
63;2219;pantalla en blanco;cambiar C555 de 3.3 x 250v.;;0
64;2224;Sin imagen,con lineas de retorno,un poco oscuro pero sonido perfecto.;R704 de 100 Ohms cortada,en la patita 6 del integrado vertical. Como la pantalla tenia luz en toda ella y nÃ³ una raya horizontal,era dificil sospechar del bloco vertical!!;;0
65;2231;Vertical plegado c/linea blanca y pliegue;"Cambiar c810 de la fuente ajustar fuente a 123 vol.
Parpadeo de color cambiar CI cd4069";Color parpadea;0
66;2232;No enciende o enciende y se corta;Resoldar la pata 9 (correspondiente a la entrada del +B135 V) del flyback, que suele fisurarse.;No enciende o enciende y se corta, sÃ³lo lo hace el led de POWER y se escucha el accionar del relay de la bobina desmagnetizadora..;0
67;2237;No enciende, si lo hace el led.;cambiar electrolÃ­ticos de EAT y secundario de fuente y OK;;0
68;2238;Funciona en forma intermitente;Resoldar las patitas del flyback T461 (cÃ³digo: DNF-FA2017) y controlar en el chasis que al encender el equipo no chisporrotee, ya que es muy comÃºn que se levante la patita de conexiÃ³n a masa y se rompa la aislaciÃ³n del mismo. Nota: el circuito que se;Funciona y derrepente se apaga y se vuelve a encender.;0
69;2244;se ve el mismo canal en todos los canales;"CAMBIAR R DE 33 VOLTS A La salida del FLYBACK Y CAMBIAR ESTE ULTIMO, ERA UN BSC25-2701 Y COLOQUE UN BSC25-2701B Y OK
";;0
70;2245;Sin audio por las entradas de A/V traseras, si tiene por las entradas delanteras;"reparar impreso en entradas rca frontales, las mismas son jacks con corte y al colocar fichas machos que no correspondÃ­an rompieron el impreso y no dejaban funcionar las traseras.
";;0
71;2272;No enciende;CAMBIAR LOS C412, 408 Y DIODO KLAMPING +B Y MASA;No encendia;0
72;2272;no enciende;se cambio la resistencia en la funte R 802 -470K estaba abierta;se reviso el fusible estaba bien se midio el boltaje en la salida del str 50103 y no salia nada;0
73;2272;Franja negra superior;"CAMBIAR CAP 47uF/50V DEL AMP VERTICAL(PATAS 13 Y 9)
";Funciona mal la etapa de la amplificacion vertical, pero no es el IC, debido a que si se espera 10\' se ve la pantalla completa.;0
74;2299;Arranca y vuelve a stby;cambiar flyback;cuando arranca por el lapso de unos dos segundos, el B+ baja de 135 volt a 100 volt;0
75;2300;Aumenta  frecuencia del horizontal;Cambiar el transistor de salida horizontal y resoldar TODOS los pines del jungla;El tv tenia el transistor de salida horizontal en corto,luego de reemplazarlo el tv funcionaba pero al los minutos se aumentaba la frecuencia de oscilacion del horizontal y volvia a destruir el transistor.;0
76;2301;con brillo mÃ¡ximo o al aumentar el brillo la imagen parpadea en algunos canales, generalmente cuando las imÃ¡genes son muy claras;C231=22uF/50V seco;;0
77;2302;pantalla verde y se apaga;"Determinando que el caÃ±on del Verde esta en corto. Mas bien rozando con el filamento.
Se procede a aislar la alimentaciÃ³n del mismo.
Mediante cuatro vueltas de cable alrededor del ferrite del FB, se obtiene la tension necesaria para que el filamento";muestra la pantalla verde con lineas de retrazo y se apaga al instante;0
78;2321;No enciende;"Se reemplazan
D1886 (BU508AF equivalente)
C477 (10uf/160V)
C321 (10uf/160V)";Salida horizontal quemada;0
79;2435;Le cayo un rayo;Cambiar tr de la fuente (K3233), Tr de salida horizontal(TT2168) Rfusistores de la fuente y del ampl de audio,Transistores supf(cambiarlos por BC640 y BC639)que controlan al optoacoplador y ampl audio;Totalmente muerto;0
80;2436;sin imagen;cambiar flyback;"el tv.enciende con sonido sin imagen.
se verifico que encendiera el filamento,tension 180v para los transistores amplificadores estos estaban ok al medir tension de screem marcaba 0v.";0
81;2468;Sin video;cambiar filtro de video c555 3,3uf x 250 volts;Brillo al mÃ ximo con lineas de retraso o sin video;0
82;2486;caida del equipo al suelo;procedÃ­ a realizar puentes en las distintas pistas daÃ±adas y resoldar los pines de los componentes desoldados obviamente.;no encendÃ­a, se habÃ­a quebrado en el chasis varias pistas en la parte de la fuente y del fly back.AdemÃ¡s de levantarse varias soldaduras de distintos componentes, que se observaban a simple vista.;0
83;2495;Imagen nuclada que se oscurece;CAMBIE LOS ELECTROLITICOS DE 100MF X 160 DE EAT Y VARIOS DE FUENTE Y ARRANCO CON AUDIO DISTORCIONADO, RETOQUE BOBINAS DE FI Y OK;"IMAGEN NUBLADA Y QUE SE OSCURECE

";0
84;2495;Lluvia en pantalla;RECALIBRE BOBINA AFT Y OK;"Chasis MC 14 A
LLUVIA EN PANTALLA - NO ARRANCA CASI NINGUN CANAL

";0
85;2495;Enciende y se apaga;"CAMBIAR 1MF X 160V EN C 407 (EAT) Y 
10MF X 160V EN C 814 Y C 828 (de fuente) -
1000 X 25V (C 520 EAT) - 10MFX 50V EN C 822(EAT)
FALSOS EN CONECTOR (PLACA - RVA) - P 701 1 Y EN D 813 - CAMBIAR C522 4,7MF X 250V Y RETOCAR TODAS LAS SOLDADURAS FRIAS.";"ENCIENDE Y SE CORTA ENSEGUIDA Y CUESTA PRENDER
";0
86;2496;VarÃ­a la sintonÃ­a y no retiene la memoria;diodo zener RD102=ÂµPC574J de 33V defectuoso;;0
87;2511;pantalla color margenta;resoldar las soldaduras falsas en el ic que se encuentra en la placa base del cinescopio;al encender el tv el color estaba ok pero de inmediato se tornaba color margenta en forma intermitente;0
88;2524;no nuestra agunos canales;no se cual es la soluciÃ³n;EL tv funciona bien con la mayorÃ­a de los canales, pero algunos no los muestra, es decir solo muestra peleas de hormigas (como cuando se va la seÃ±al de la TV abierta);0
89;2620;No enciende;"EXPLOSIÃ“N EN RELAY (soldaduras)  VARIOS ELECTROLITICOS MALOS
CAMBIE TODOS Y VARISTORES DE FUENTE SECUNDARIA. OK
";FUSE QUEMADO;0
90;2621;Voltaje de fuente alto (se lee 144V normal 133V)se escucha un chillido o silbido, no tiene consumo en el horizontal.;TA7685 AVERIADO.;;0
91;2624;no trabaja solo enciende el led rojo;se cambio memoria y microprocesador;el aparato no trabaja solo enciende el led rojo, los voltajes de la fuente eran correctos, asi como los del micro y la memoria, pero no actuaba el pin 16 de on/off del micro. se cambio la memoria por una memoria virgen y el aparato encendio, solo que sin;0
92;2625;varia la imagen al subir sonido;la R804 de 0.27 ohms estaba alterada media 0.6 ohms, se cambio y el problema desaparecio;al subirle el sonido al aparato la imagen varia de tamaÃ±o, con sonido bajo no tenia problema, el voltaje de la fuente variaba con volumen alto, no regulaba;0
93;2634;imagen intermitente;cambiar flyback NÂº FSA37023M,;al prender el televisor la imagen se cierra intermitentemente;0
94;2636;No enciende, el TV esta totalmente inerte.;El problema estaba en la Fuente, se reemplazÃ³ el transistor Q801 (2SK2564) El resistor R804 (0.27 ohms) y el mÃ³dulo DPM001.;;0
95;2638;No arranca;se cambiaron los componentes daÃ±ados y arranco normalmente;"No arranca, se encontro las resistencias R-893 de 300 ohmios, R-805 de 0,33 abiertas
Regulador: W6735 en corto, todos en la fuente
";0
96;2656;funciona normalmente y de a ratos se cierra el vertical y se vuelve a abrir y a veces se oscurece la pantalla como apagÃ¡ndose pero sigue con audio.;"c 302 de 47 x 50v - c 305 2,2 x 50v -
c 301 100mf x 160 - c 414 4,7 x 160v y retocar soldaduras en placa de rva.

";;0
97;2658;no enciende.;"cambie llave de encendido, str50103, diodos y electrolÃ­ticos de fuente, eat y horizontal, tambien el diodo avalancha R2KY. encendiÃ³ la fuente pero no lo hace el tv, cambie cristal B500 (f25) x
ZTB500 y arrancÃ³ con distorsiones y rallas cambie el cris";;0
98;2667;"Laterales de pantalla mas oscuros que el centro de la misma..
";"Reemplazar(C.451) = 22 uf. x 250V.
";;0
99;2673;no enciende;cambiar zener 801;al medir el +B con el horizontal desconectado esta bariava entre 95v y 115v cuando en condiciones normales deberia ser 112v lo mismo ocurria con las tensiones auxiliares,al medir del lado primario encontre el zener 801 en corto;0
100;2674;NO ENCIENDE;TRANSISTOR DE SALIDA HORIZONTAL EN CORTO  ( Q402 )C6029  Y RESISTENCIA FUSIBLE ( FR403 ) 1.2 HOMS SE CAMBIAN PIEZAS  FUNCIONANDO OK;;0
101;2708;canales con mucha lluvia;Resistencia variable 103 del AGC defectuosa se cambio y los canales se ven perfectos;Los canales se ven con mucha brisa y algunos oscuros, por entrada de video imagen oscura;0
102;2737;Prende un instante y se apaga;CambiÃ© el IC de Vertical LA7833;Al Prenderlo hace como que prende pero vuelve a Stand Bye, se nota que hay alto voltaje al querer prender. EncontrÃ© reventado el IC de Vertical LA7833;0
103;2743;sin nitidez y color corrido a la derecha;reemplazar (c540)10uf 250v;a este tv le cambie el sintonizador pues lo tenia malo al encenderlo se observaba poca nitidez y el color en los displays corridos hacia la derecha;0
104;2753;no enciende, solo el led de stanby;"se cambio el transistor de salida horizontal y solo prendia el led de stanby.
al intentar prender el televisor se activa el relevador de la fuente y luego se apaga, vuelve a quedar en stanby.
en experiencias anteriores con otros televisores de esta ma";"altes de fallar aparecio una franja negra en la parte derecha de la pantalla en forma de columna,despues se apago por completo, no encendia ni el led de stanby.
se reviso el transistor de salida horizonta y estaba en corto.
";0
105;2797;No enciende;Se cambio el Ic SE110 del circuito regulador;"La Fuente B+ solo entrega 58Volts y si  te acercas al chassis se escucha como esta pulsando la fuente, el led monitor de encendido parpadea al mismo ritmo
";0
106;2805;no hay imagen solo audio y display de canales;cambiar la memoria 24C02;"no hay imagen ( pantalla negra ) solo hay audio normal, y cuando se cambia de canales se ve el numero del canal seleccionado.

";0
107;2835;Salida horizontal no oscila;No llegaba el clÃ¡sico Diente de cierra al Driver se remplazo el Resonador CerÃ¡mico y quedo marchando.;Pantalla negra sin falta de oscilaciÃ³n del Transistor de salida Horizontal.;0
108;2869;no hay audio;se cambio el diodo zener de 5.6v y despues se entro al modo de servicio y se puso (audio-mono)y regreso el audio al tv.;el tv trabaja bien pero no hay audio, incluso se ve el indicador de volumen trabajando bien sube y baja pero sin audio,se checo el c.i. de audio encontrandolo bien pero se siguio la linea del mute y encontramos una lectura irregular devido a que un zener;0
109;2869;No Enciende.;Se Reemplaza DZ803 matricula 1N4750, zener de 27 volts a 1 watt;A consecuencia de un sobrevoltaje en la linea de AC. No enciende, En la linea de B+ salida Horizontal no hay corto. no hay los 125V de B+, no hay 5 volts, pero si hay voltaje en el transf de Fuente del lado primario que alimenta al regulador.  Se detecta;0
110;2871;no da imagen;"LA RESISTENCIA R423 DE 82K OMH ESTA ABIERTA 								
";"PRESENTA PANTALLA NEGRA CUANDO ENTRA EN CANAL CON AUDIO, SE PRESIONA LA TECLA MENU Y APARECE EL DESPLIEGUE EN LA PANTALLA.															
";0
111;2872;problema con el audio;"El problema estaba en IC. EEPROM desprogramado, es importante.  ke ante de programar nuevamente la eeprom es necesario revisar todo los punto de soldadura y estaÃ±ar de ser necesario, ya ke es una de las causa por la cual el IC, se desprograma; entonce pa";"En una ocasiÃ³n me llego al taller un TV,  de este modelo y chassi KS9A
con problema de audio, que  ya venia de otro taller, el tv, prendÃ­a  y se veÃ­a bien, y todo lo demÃ¡s. Pero no se escuchaba";0
112;2947;Pantalla oscura, muestra el OSD;"Se verificÃ³ el voltaje de la fuente encontrÃ¡ndose normal. TambiÃ© hay alta tensiÃ³n de parte del Ãnodo. Se checÃ³ la iluminaciÃ³n de los cÃ¡todos del cinescopio encontrÃ¡ndose todo bien.

De inmediato se procediÃ³ a cambiar la memoria EEprom 24c02,";El TV enciende normal, pero con pantalla oscura y sin sonido. AdemÃ¡s se apaga al al pulsar el botÃ³n MENÃš.;0
113;2948;no enciende;"se mide voltajes en micro ok 5volt .se sospecha de eprom se mide voltaje de data y clock no encontrando pulso de data ,se reemplaza memoria eprom original 24c02 .por una 24c08 se hacen pruebas se mide data y clock ok .se mide +b 130 volts .
se pone en a";"televisor no enciende al medir voltajes correspondientes a la fuente se encuentran voltajes bien se mide voltaje +b midiendo 42 volts .en este modelo de tv funciona con un modo de espera de 42 v al dar la orden de encendido debe medir 130 volta en +b .
";0
114;2949;ausencia total de audio;posible mente sea la eeprom;pues el tv prende normal ila imagen es normal pero no se escucha;0
115;2952;*Se observan chispas adentro;"REEMPLACE POR TUBO SAMSUNG Y LA RESISTENCIA DE 100omhs EN PLACA RVA QUE VA DE MASA A G1 
";"TUBO PHILIPS ROTO BAJO EL YUGO   
";0
116;2952;Chispas adentro;"REEMPLACE POR TUBO \""SAMSUNG\"" Y LA RESISTENCIA DE 100omhs EN PLACA RVA QUE VA DE MASA A G1 
";"TUBO \""PHIIPS\"" ROTO BAJO EL YUGO   
";0
117;2952;Chispas adentro;"REEMPLACE POR otro TUBO Y LA RESISTENCIA DE 100omhs EN PLACA RVA QUE VA DE MASA A G1 
";tubo roto bajo el yugo;0
118;2952;No enciende;"CAMBIE BUT 12 AF  C 4429, RESISTENCIAS
R121/122 y TRANSITORES Q102 Y Q104 
";fusible quemado y se observa fuente destruida;0
119;2952;Se observan chispas adentro;"REEMPLACE POR TUBO SAMSUNG Y  
RESISTENCIA 100 omhs EN PLACA RVA QUE VA DE MASA A G1 
";"TUBO PHILIPS ROTO BAJO EL YUGO 
";0
120;2962;no color;se detecto que no llegaban los pulsos de oscilacion horizontal a la resistencia 421;se todos los canales con su imagen normal, pero sin color;0
121;2970;no enciende pero el led de stbye prende;resistencia de abl del flay back esta abierta o desbalorizada.;no enciende pero el led de stbye prende pero si mira bien como que parpadea.;0
122;3021;no prende;empece a checar los volt.de entrada en la f.pwr. en stby. estaban correctos pero al darle pwr. se cae el volt. del cap. principal (150mf a 450v.) de pwr. de 175v. a 10v. procedi a cambiar el cap.antes descrito y accione el cont. rem. y encendio normal.-La;Al conectar al c.a. prende el led frontal indicando que esta en stanby, pero al prender con el remoto solo se escuchaba un sumbido muy pequeÃ±o en la funte de power y no hace nada.;0
